kmeans_labels  nl_command_exs                                                       
0              Turn on the lamp                                                         605
               Turn the lamp on                                                         167
               Turn on the floor lamp                                                    83
               turn on the lamp                                                          80
               turn the lamp on                                                          80
               Turn on the lamp on the desk                                              54
               Turn on the tall lamp                                                     50
               Turn on the light                                                         43
               Turn on the lamp on the table                                             37
               Turn on the desk lamp                                                     32
               Turn on the lamp on the dresser                                           30
               turn on the floor lamp                                                    26
               Turn on the light of the tall lamp                                        17
               Turn on the lamp in the corner                                            17
               Turn on the lamp that is sitting on the desk                              16
1              Go to the microwave                                                      122
               Turn around and go to the microwave                                       60
               walk to face microwave                                                    48
               Turn right and go to the microwave                                        37
               Turn left to face the microwave                                           34
               Go to the stove                                                           33
               Turn left and go to the microwave                                         30
               Turn around and walk to the microwave                                     30
               Turn and go to the microwave                                              27
               Turn left and walk to the microwave                                       22
               Turn right and walk to the microwave                                      20
               Turn around and head to the microwave                                     18
               Move to the microwave                                                     16
               Open the microwave                                                        16
               Close the microwave door                                                  15
2              Pick up a slice of potato                                                 73
               Cut the potato on the counter into slices                                 34
               Slice the potato on the counter                                           33
               Heat the potato in the microwave                                          32
               Pick up the potato on the counter                                         30
               Pick up the potato from the counter                                       25
               Pick up a slice of the potato                                             22
               Put the potato in the microwave                                           21
               Pick up a slice of potato on the counter                                  20
               Put the potato in the sink                                                20
               Slice the potato on the table                                             19
               Slice the potato in the sink                                              19
               Cut the potato in the sink into slices                                    18
               Pick up the potato in the sink                                            17
               Put the potato in the trash can                                           17
3              Shut the door                                                             82
               Close the door                                                            70
               Close the door wait a moment and take it out again                        41
               Pick up the box from the table                                            28
               Pick up the box                                                           26
               Pick up the box from the couch                                            25
               Shut the drawer                                                           23
               Close the drawer                                                          19
               Pick up the newspaper on the table                                        19
               Put the book on the bed                                                   19
               Pick up the tennis racket from the floor                                  18
               Go to the bin                                                             18
               Pick up the credit card on the table                                      18
               Put the box on the chair                                                  18
               Put the box on the couch                                                  17
4              Take a step right                                                         44
               Take a step left                                                          44
               Turn to the right                                                         41
               Move slightly to the left                                                 34
               Move slightly to the right                                                34
               Turn around and go to the desk                                            28
               Turn around                                                               27
               Turn around and walk to the desk                                          26
               Turn to the left                                                          26
               Turn around and walk to the bed                                           24
