kmeans_labels  nl_command_exs                                           
0              place the yellow object on the table                         1452
               place the pink object on the table                           1452
               place the yellow block on the table                          1386
               put the yellow block on the table                            1188
               place the purple object on the table                         1122
               put the purple block on the table                             990
               place the pink block on the table                             990
               put the pink object on the table                              924
               put the yellow object on the table                            858
               place the purple block on the table                           858
               put the purple object on the table                            792
               put the pink block on the table                               726
1              pull the drawer                                              2508
               grasp the drawer handle and open it                          2442
               grasp the handle of the drawer and open it                   2310
               go open the drawer                                           2244
               open the cabinet drawer                                      2112
               push the handle of the drawer                                2046
               grasp the drawer handle then open it                         2046
               grasp the handle of the drawer then open it                  1980
               go close the drawer                                          1848
               grasp the handle of the drawer then close it                 1782
               grasp the drawer handle and close it                         1650
               open the drawer                                              1650
               push the drawer                                              1518
               grasp the drawer handle then close it                        1518
               close the cabinet drawer                                     1452
2              pick up the pink block                                       2838
               lift the yellow block                                        2244
               grasp the pink block                                         2112
               go towards the purple block and grasp it                     2046
               grasp the purple block                                       2046
               go towards the yellow block and pick it up                   2046
               go towards the yellow block and lift it                      1980
               grasp the yellow block                                       1980
               pick up the yellow block                                     1782
               go towards the purple block and lift it                      1716
               go towards the yellow block and grasp it                     1716
               lift the purple block                                        1584
               go towards the purple block and pick it up                   1452
               go towards the pink block and lift it                        1386
               pick up the purple block                                     1320
3              put the purple object on top of the drawer                   1650
               put the yellow object on top of the drawer                   1518
               place the pink object on top of the drawer                   1452
               place the yellow object on top of the drawer                 1386
               place the yellow block on top of the drawer                  1254
               place the purple block on top of the drawer                  1188
               put the pink object on top of the drawer                     1122
               put the purple block on top of the drawer                    1122
               put the yellow block on top of the drawer                    1122
               put the pink block on top of the drawer                      1056
               place the purple object on top of the drawer                  924
               move to the drawer and place the yellow object                660
               place the yellow block in the drawer                          660
               place the pink block on top of the drawer                     660
               move to the drawer then store the pink object                 462
4              put the yellow object inside the left cabinet                 924
               place the grasped pink block inside the right cabinet         924
               place the grasped purple block inside the left cabinet        660
               place the pink object inside the left cabinet                 594
               put the pink block inside the right cabinet                   594
               put the pink object inside the right cabinet                  594
               put the purple block inside the left cabinet                  594
               put the yellow block inside the left cabinet                  594
               place the grasped yellow block inside the left cabinet        528
               place the grasped yellow block inside the right cabinet       528
               put the pink object inside the left cabinet                   528
               place the purple block inside the left cabinet                528
               place the purple object inside the right cabinet              528
               put the yellow object inside the right cabinet                528
               put the purple block inside the box                           528
5              move the door all the way to the left and let go             1122
               push the door to the left side                               1056
               grasp the door handle then slide the door to the left         990
               push the sliding door to the left                             858
               slide the door all the way to the left                        858
               slide the door to the left                                    792
               push the door to the left                                     792
               move the door all the way to the left                         792
               move the door to the left side                                594
               slide the door to the left side                               528
               move the sliding door to the left                             528
               grasp the door handle and slide the door to the left          396
               move the door to the left                                     396
               slide the door to the left then let it go                     396
               grasp the door handle and move the door to the left           330
6              switch off the blue light                                    1188
               switch off the green light                                    990
               turn on the blue light                                        924
               push down the blue button to turn off the blue light          858
               turn off the green led light                                  726
               push down the red button to turn on the red light             726
               switch off the red light                                      726
               turn on the red led light                                     726
               turn on the red light                                         726
               toggle the blue light switch to turn on the blue light        660
               toggle the green light switch to turn off the green light     660
               turn on the green led light                                   660
               turn off the red led light                                    660
               turn on the green light                                       660
               push the blue button to turn off the blue light               660
7              go push the yellow block to the left                          924
               place the purple block on top of the yellow block             858
               slide the yellow block towards the left                       792
               sweep the yellow block to the left                            792
               push the purple block towards the left                        726
               slide the yellow block to the left                            726
               slide the purple block to the left                            660
               slide left yellow red block                                   660
               push the yellow block towards the left                        594
               grasp the purple block and rotate it right                    594
               rotate right the purple block                                 594
               take the purple block and rotate it right                     594
               collapse the stacked blocks                                   528
               go slide the yellow block to the left                         528
               push the yellow block to the left                             528
